Microservice,Test ID,Fonctionnalité,Scénario de Test,Type,Priorité,Préconditions,Données de Test,Étapes,Résultat Attendu,Statut,Commentaires
BASKET,TC_BASKET_001,Création de panier,Créer un panier vide avec un CustomerId valide,Positif,Haute,Aucune,"CustomerId = ""customer-123""","1. Appeler POST /api/baskets avec CustomerId | 2. Vérifier la réponse","Code HTTP 201 Created | BasketId généré | CustomerId = ""customer-123"" | Items = []",À tester,Test de création basique
BASKET,TC_BASKET_002,Création de panier,Créer un panier sans CustomerId,Négatif,Haute,Aucune,CustomerId = null ou vide,"1. Appeler POST /api/baskets sans CustomerId | 2. Vérifier l'erreur","Code HTTP 400 Bad Request | Message: ""CustomerId est requis""",À tester,Validation obligatoire
BASKET,TC_BASKET_003,Ajout d'item,Ajouter un produit valide au panier,Positif,Haute,Un panier existe,"CatalogItemId valide | ProductName = ""iPhone"" | UnitPrice = 1199.99 | Quantity = 2","1. POST /api/baskets/{basketId}/items | 2. Vérifier l'ajout","Code HTTP 200 OK | Item ajouté | Quantity = 2",À tester,Ajout simple
BASKET,TC_BASKET_004,Ajout d'item,Ajouter avec quantité = 0,Négatif,Moyenne,Un panier existe,Quantity = 0,"1. POST avec Quantity = 0 | 2. Vérifier erreur","Code HTTP 400 | Erreur validation",À tester,Validation quantité
BASKET,TC_BASKET_005,Ajout d'item,Ajouter avec quantité négative,Négatif,Moyenne,Un panier existe,Quantity = -5,"1. POST avec quantité négative | 2. Erreur","Code HTTP 400 | Validation échouée",À tester,Quantité invalide
BASKET,TC_BASKET_006,Ajout d'item,Ajouter avec prix = 0,Négatif,Moyenne,Un panier existe,"UnitPrice = 0, Quantity = 1","1. POST avec prix = 0 | 2. Erreur","Code HTTP 400 | Message: ""Prix > 0 requis""",À tester,Validation prix
BASKET,TC_BASKET_007,Ajout d'item,Ajouter avec prix négatif,Négatif,Moyenne,Un panier existe,UnitPrice = -99.99,"1. POST avec prix négatif | 2. Erreur","Code HTTP 400 | Erreur validation",À tester,Prix invalide
BASKET,TC_BASKET_008,Ajout d'item,Ajouter sans nom de produit,Négatif,Moyenne,Un panier existe,ProductName = null,"1. POST sans ProductName | 2. Erreur","Code HTTP 400 | Nom requis",À tester,Validation nom
BASKET,TC_BASKET_009,Ajout d'item,Même produit deux fois (incrémentation),Positif,Haute,Panier avec item existant,"Même CatalogItemId | Qty existante = 2 | Nouvelle = 3","1. Ajouter même produit | 2. Vérifier quantité totale","Quantity = 5 (2+3) | Pas de doublon",À tester,Incrémentation auto
BASKET,TC_BASKET_010,Ajout d'item,Plusieurs produits différents,Positif,Moyenne,Un panier existe,"3 produits différents","1. Ajouter 3 produits | 2. Vérifier panier","Items.Count = 3 | Tous présents",À tester,Multi-produits
BASKET,TC_BASKET_011,Suppression d'item,Supprimer un item existant,Positif,Haute,Panier avec 2 items,CatalogItemId valide,"1. DELETE item | 2. Vérifier suppression","Code HTTP 204 | Item supprimé",À tester,Suppression
BASKET,TC_BASKET_012,Suppression d'item,Supprimer item inexistant,Négatif,Moyenne,Un panier existe,CatalogItemId inexistant,"1. DELETE inexistant | 2. Erreur","Code HTTP 404 | Non trouvé",À tester,Item inexistant
BASKET,TC_BASKET_013,Mise à jour quantité,Mettre à jour quantité existante,Positif,Haute,Panier avec item (Qty=2),NewQuantity = 5,"1. PUT nouvelle quantité | 2. Vérifier","Quantity = 5 | Total recalculé",À tester,Mise à jour
BASKET,TC_BASKET_014,Mise à jour quantité,Mettre à jour avec Qty = 0,Négatif,Moyenne,Panier avec item,NewQuantity = 0,"1. PUT Qty = 0 | 2. Erreur","Code HTTP 400 | Validation",À tester,Quantité invalide
BASKET,TC_BASKET_015,Mise à jour quantité,Mettre à jour avec Qty négative,Négatif,Moyenne,Panier avec item,NewQuantity = -3,"1. PUT négatif | 2. Erreur","Code HTTP 400 | Erreur",À tester,Quantité négative
BASKET,TC_BASKET_016,Vider le panier,Vider panier avec items,Positif,Haute,Panier avec 3 items,Aucune,"1. DELETE /clear | 2. Vérifier","Items = [] | Panier vide",À tester,Vider panier
BASKET,TC_BASKET_017,Vider le panier,Vider panier déjà vide,Positif,Basse,Panier vide,Aucune,"1. DELETE /clear | 2. OK","Code HTTP 204 | Idempotent",À tester,Idempotence
BASKET,TC_BASKET_018,Suppression panier,Supprimer un panier existant,Positif,Moyenne,Un panier existe,BasketId valide,"1. DELETE panier | 2. Vérifier","Code HTTP 204 | GET retourne 404",À tester,Suppression panier
BASKET,TC_BASKET_019,Suppression panier,Supprimer panier inexistant,Négatif,Basse,Panier inexistant,BasketId inexistant,"1. DELETE inexistant | 2. Erreur","Code HTTP 404 | Non trouvé",À tester,Panier inexistant
BASKET,TC_BASKET_020,Récupération,Récupérer panier par ID,Positif,Haute,Panier avec 2 items,BasketId valide,"1. GET panier | 2. Vérifier données","Code HTTP 200 | Items.Count = 2",À tester,Lecture panier
BASKET,TC_BASKET_021,Récupération,Récupérer panier inexistant,Négatif,Moyenne,Panier inexistant,BasketId inexistant,"1. GET inexistant | 2. Erreur","Code HTTP 404 | Non trouvé",À tester,Panier inexistant
BASKET,TC_BASKET_022,Récupération par client,Récupérer par CustomerId,Positif,Haute,Panier pour customer-456,CustomerId valide,"1. GET par CustomerId | 2. Vérifier","Code HTTP 200 | CustomerId correct",À tester,Récupération client
BASKET,TC_BASKET_023,Récupération par client,Client sans panier,Négatif,Moyenne,Client sans panier,CustomerId sans panier,"1. GET | 2. Erreur","Code HTTP 404 | Aucun panier",À tester,Client sans panier
BASKET,TC_BASKET_024,Validation ID,BasketId invalide,Négatif,Moyenne,Aucune,BasketId = ""invalid-guid""","1. POST avec ID invalide | 2. Erreur","Code HTTP 400 | Format invalide",À tester,Validation GUID
BASKET,TC_BASKET_025,Validation ID,CatalogItemId invalide,Négatif,Moyenne,Un panier existe,CatalogItemId invalide,"1. POST item | 2. Erreur","Code HTTP 400 | Format GUID",À tester,Validation GUID produit
BASKET,TC_BASKET_026,Performance,Ajouter 50 produits,Performance,Basse,Un panier existe,50 produits différents,"1. Ajouter 50 items | 2. Mesurer temps","Toutes requêtes < 200ms | Count = 50",À tester,Charge
BASKET,TC_BASKET_027,Concurrence,Deux ajouts simultanés,Concurrence,Moyenne,Un panier existe,User1 et User2 ajoutent,"1. 2 POST parallèles | 2. Vérifier intégrité","2 produits présents | Pas de perte",À tester,Concurrence
BASKET,TC_BASKET_028,Intégration,Produit supprimé du Catalog,Intégration,Moyenne,Produit supprimé,CatalogItemId supprimé,"1. Ajouter produit supprimé | 2. Erreur","Code HTTP 400/404 | Non disponible",À tester,Validation Catalog
BASKET,TC_BASKET_029,Intégration,Propagation changement prix,Intégration,Haute,Produit dans panier | Prix change,"Prix 99.99 → 149.99","1. Changer prix Catalog | 2. Attendre événement | 3. Vérifier panier","UnitPrice = 149.99 | Délai < 3s",À tester,Événement RabbitMQ
BASKET,TC_BASKET_030,Checkout,Transformer panier en commande,Intégration,Haute,Panier avec 3 items,ShippingAddress etc.,"1. Checkout | 2. Créer commande | 3. Vider panier","Commande créée | Panier vidé",À tester,Flow checkout
CATALOG,TC_CATALOG_001,Création produit,Créer produit complet,Positif,Haute,Type et Brand existent,"Name=""iPhone"" | Price=1199.99 | Stock=100","1. POST produit | 2. Vérifier création","Code HTTP 201 | Id généré | Données OK",À tester,Création basique
CATALOG,TC_CATALOG_002,Création produit,Créer sans nom,Négatif,Haute,Aucune,Name = null,"1. POST sans nom | 2. Erreur","Code HTTP 400 | Nom requis",À tester,Validation nom
CATALOG,TC_CATALOG_003,Création produit,Nom vide (espaces),Négatif,Moyenne,Aucune,Name = ""   ""","1. POST espaces | 2. Erreur","Code HTTP 400 | Validation",À tester,Nom non vide
CATALOG,TC_CATALOG_004,Création produit,Prix = 0,Négatif,Haute,Aucune,Price = 0,"1. POST prix 0 | 2. Erreur","Code HTTP 400 | Prix > 0 requis",À tester,Validation prix
CATALOG,TC_CATALOG_005,Création produit,Prix négatif,Négatif,Haute,Aucune,Price = -99.99,"1. POST négatif | 2. Erreur","Code HTTP 400 | Erreur",À tester,Prix invalide
CATALOG,TC_CATALOG_006,Création produit,Stock négatif,Négatif,Moyenne,Aucune,AvailableStock = -10,"1. POST stock négatif | 2. Erreur","Code HTTP 400 | Stock >= 0",À tester,Validation stock
CATALOG,TC_CATALOG_007,Création produit,MaxStock < RestockThreshold,Négatif,Moyenne,Aucune,MaxStock=50 < RestockThreshold=100,"1. POST seuils incohérents | 2. Erreur","Code HTTP 400 | Erreur validation",À tester,Cohérence seuils
CATALOG,TC_CATALOG_008,Création produit,CatalogTypeId inexistant,Négatif,Moyenne,TypeId inexistant,CatalogTypeId invalide,"1. POST type invalide | 2. Erreur","Code HTTP 400/404 | Type non trouvé",À tester,Validation FK Type
CATALOG,TC_CATALOG_009,Création produit,CatalogBrandId inexistant,Négatif,Moyenne,BrandId inexistant,CatalogBrandId invalide,"1. POST brand invalide | 2. Erreur","Code HTTP 400/404 | Marque non trouvée",À tester,Validation FK Brand
CATALOG,TC_CATALOG_010,Mise à jour,Mettre à jour toutes propriétés,Positif,Haute,Un produit existe,Nouvelles valeurs,"1. PUT produit | 2. Vérifier MAJ","Code HTTP 200 | Données mises à jour",À tester,Update complet
CATALOG,TC_CATALOG_011,Mise à jour,Mettre à jour prix uniquement,Positif,Haute,Un produit existe,Price = 1499.99,"1. PUT nouveau prix | 2. Vérifier événement","Code HTTP 200 | PriceChangedEvent levé",À tester,Changement prix
CATALOG,TC_CATALOG_012,Mise à jour,Produit inexistant,Négatif,Moyenne,Produit inexistant,Id inexistant,"1. PUT inexistant | 2. Erreur","Code HTTP 404 | Non trouvé",À tester,Produit inexistant
CATALOG,TC_CATALOG_013,Mise à jour,Données invalides,Négatif,Moyenne,Un produit existe,Name vide | Prix négatif,"1. PUT données invalides | 2. Erreurs","Code HTTP 400 | Erreurs validation",À tester,Validation update
